reg_no,reg_date,attendanceRate,studyHours
2d6d2c3e0c932fcdb7fda44506ef74f0728eb98066052293ad9e8d764a2403f1,01/02/2020,89,16.6
0b5010c55f5a67026a3e80ac85f5089ed742a966d0b313aaa322b953dc46ace6,08/02/2021,94,22.4
587812f588d086570943130395ab45d2b522e6e6b9c5dfaa61d11392670589ca,05/09/2020,77.76,12.3
3af78228234678171fafdbe1d87782fd3f49fa0cf46a977213571d71b17463c9,22/02/2020,73,20
5acc9cd8d554a05f9b315516238d144010be47cc46a57b7c0fa16a1076f96ed1,19/02/2020,86,19.9
a814f8cce6d0b27ef7407d3a1ca1ffdb8b04bc954e86d73424782f0db4967325,02/09/2021,73,14.2
4d1d117b60bb52898daa760f44cb2875ce879788f16d9427d4e2554ea0ff5907,03/02/2020,74,22.6
c7ffd838eef871c9e713e874deaedf1fe988352b2540c4c0aebb096cb2794a7f,08/09/2020,74,17.1
462b04dc503076f6e13337770f3028227c78238793efae6cc67079d013be0ffa,18/02/2020,78.99,11
25fb05980d86897683ba9428b54cb894abc1825602d10289a6a5de3663767af0,23/09/2020,79,6.1
b6904dc163962a241039bf643acec365ea79845243f4d2c4d8fff49ecf2c6f69,08/09/2021,73.14,17.4
30765d72e99339a9a37435c05b070548044a1cd01ead08d06c296ff1e24012ee,19/09/2021,96,10.9
4e0993163d1781c3f4b61a09e075809ef8f367bb5e674f489c1ec66441bdd310,26/02/2021,84,17.3
a8d1bfd357de4c45ad1a62ddc1ca81dd890843c6d1b80256f66b4e4b1f0aa15d,25/02/2020,73,12.7
dac81f1041669c0f07229fc6e65f8cb4108d071523a0c856ab2f8a4c158b92b7,23/09/2020,76.11,14.4
41c7a963f16e4b7a22e222935a1ef2fe3d741fad3346062869f1acf8dbc01ac3,11/09/2021,74.32,13.9
ae32c58b297f855c6f2de2dbb6e0cbd913476dd58678c93f6ba18416be417f68,05/02/2021,78.34,15.3
9850362932d26757de4da98431f9c7693c7a69e463cf12f339da3f038da3c4b0,25/09/2020,72,15.2
448ff64e2aa248d45918a5f0649fa8670383ae09c307f7020ba9f52859bc38b5,04/02/2021,70,11
99bdf25c417161661446453b026fd9dad34aa22cf844d8673bdd465c3ece3ef2,13/02/2020,85,23.2
6ac1408e0aac1e2a76c296cbc06bbe27d343983718cbfa89b349c83846d6a77f,12/02/2020,85,22.1
fa979fa2a2eb36607fa45f87814cb1aa1796dd18ae3f0d0a064254773174af31,20/02/2021,71,22.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/02/2021,96,10.9
