reg_no,semester,course1_marks,course2_marks,course3_marks,course4_marks,course5_marks,currentCGPA,previousCGPA,totalcredithours,high_edu,next_semester_CGPA,next_semester_grade,recommendation
2d6d2c3e0c932fcdb7fda44506ef74f0728eb98066052293ad9e8d764a2403f1,3,86,94,66,63,67,3.47,3.43,18,Diploma,3.43,B+,Low Risk
0b5010c55f5a67026a3e80ac85f5089ed742a966d0b313aaa322b953dc46ace6,3,61,92,77,79,79,3.72,3.57,18,Bachelor's Degree,4,A-,Low Risk
587812f588d086570943130395ab45d2b522e6e6b9c5dfaa61d11392670589ca,1,83,56,57,75,87,2.18,2.18,14,Bachelor's Degree,1.84,C-,High Risk
3af78228234678171fafdbe1d87782fd3f49fa0cf46a977213571d71b17463c9,6,77,79,58,53,68,3.57,3.57,19,Bachelor's Degree,3.91,A-,Low Risk
5acc9cd8d554a05f9b315516238d144010be47cc46a57b7c0fa16a1076f96ed1,3,77,72,84,59,85,1.66,2.04,18,Bachelor's Degree,1.5,D+,Probation
a814f8cce6d0b27ef7407d3a1ca1ffdb8b04bc954e86d73424782f0db4967325,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout
4d1d117b60bb52898daa760f44cb2875ce879788f16d9427d4e2554ea0ff5907,3,58,55,57,71,66,2.53,2.22,16,Bachelor's Degree,2.4,C+,Medium Risk
c7ffd838eef871c9e713e874deaedf1fe988352b2540c4c0aebb096cb2794a7f,4,78,60,76,56,94,1.67,1.94,14,Bachelor's Degree,1.6,D+,Dropout
462b04dc503076f6e13337770f3028227c78238793efae6cc67079d013be0ffa,1,89,66,64,54,95,2.02,2.02,19,Bachelor's Degree,1.7,C-,High Risk
25fb05980d86897683ba9428b54cb894abc1825602d10289a6a5de3663767af0,3,70,92,61,74,84,1.74,1.93,17,Bachelor's Degree,1.72,C-,Dropout
b6904dc163962a241039bf643acec365ea79845243f4d2c4d8fff49ecf2c6f69,1,89,80,50,74,64,2.13,2.13,17,Bachelor's Degree,1.82,C-,High Risk
30765d72e99339a9a37435c05b070548044a1cd01ead08d06c296ff1e24012ee,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation
4e0993163d1781c3f4b61a09e075809ef8f367bb5e674f489c1ec66441bdd310,1,79,71,50,64,72,2.97,2.97,13,Diploma,3.03,B,Low Risk
a8d1bfd357de4c45ad1a62ddc1ca81dd890843c6d1b80256f66b4e4b1f0aa15d,10,57,52,66,80,86,1.4,1.68,14,Bachelor's Degree,1.4,D+,Dropout
dac81f1041669c0f07229fc6e65f8cb4108d071523a0c856ab2f8a4c158b92b7,2,90,80,71,92,54,2.08,2.2,19,Bachelor's Degree,1.84,C-,High Risk
41c7a963f16e4b7a22e222935a1ef2fe3d741fad3346062869f1acf8dbc01ac3,1,75,90,59,73,77,2.11,2.11,17,Bachelor's Degree,1.83,C-,High Risk
ae32c58b297f855c6f2de2dbb6e0cbd913476dd58678c93f6ba18416be417f68,7,60,63,52,68,61,2.19,2.12,18,Bachelor's Degree,1.87,C-,High Risk
9850362932d26757de4da98431f9c7693c7a69e463cf12f339da3f038da3c4b0,8,57,56,61,52,93,1.86,1.94,19,Bachelor's Degree,2.1,C,Dropout
448ff64e2aa248d45918a5f0649fa8670383ae09c307f7020ba9f52859bc38b5,5,63,89,90,54,85,1.77,1.97,18,Bachelor's Degree,1.77,C-,Dropout
99bdf25c417161661446453b026fd9dad34aa22cf844d8673bdd465c3ece3ef2,2,75,95,78,52,95,2.87,2.6,19,Bachelor's Degree,2.5,C+,Medium Risk
6ac1408e0aac1e2a76c296cbc06bbe27d343983718cbfa89b349c83846d6a77f,3,74,63,92,95,60,2.5,2.81,15,Bachelor's Degree,2.2,C,Medium Risk
fa979fa2a2eb36607fa45f87814cb1aa1796dd18ae3f0d0a064254773174af31,4,58,60,61,82,79,2.56,2.37,19,Bachelor's Degree,2.2,C,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation
355339a34262dd76ed0adf8c138d5665db05eed27199bae681b8771767a69aa7,2,85,75,93,69,95,2.63,2.47,19,Bachelor's Degree,2.59,C+,Medium Risk
