reg_no,semester,course1_marks,course2_marks,course3_marks,course4_marks,course5_marks,currentCGPA,previousCGPA,totalcredithours,high_edu,next_semester_CGPA,next_semester_grade,recommendation,reg_date,attendanceRate,studyHours,gender,email,No_prev_attempts,disability
2d6d2c3e0c932fcdb7fda44506ef74f0728eb98066052293ad9e8d764a2403f1,3,86,94,66,63,67,3.47,3.43,18,Diploma,3.43,B+,Low Risk,01/02/2020,89,16.6,Male,5ef01e8d695f6a6376083d8c76d514da380d1ecceceda410f9867e55044621ab,1,No
0b5010c55f5a67026a3e80ac85f5089ed742a966d0b313aaa322b953dc46ace6,3,61,92,77,79,79,3.72,3.57,18,Bachelor's Degree,4,A-,Low Risk,08/02/2021,94,22.4,Female,137d46b80271fe27c24a7abf076367e136fcebbee4e10eb2b0589dcf126a1044,0,No
587812f588d086570943130395ab45d2b522e6e6b9c5dfaa61d11392670589ca,1,83,56,57,75,87,2.18,2.18,14,Bachelor's Degree,1.84,C-,High Risk,05/09/2020,77.76,12.3,Male,715abae1b07191326779ead0fd6a03c4fe8be9bfdbbf7731a20123e5bc84e647,3,No
3af78228234678171fafdbe1d87782fd3f49fa0cf46a977213571d71b17463c9,6,77,79,58,53,68,3.57,3.57,19,Bachelor's Degree,3.91,A-,Low Risk,22/02/2020,73,20,Male,2b4c46d2bd7e9bbced41d834373b2c248da319e7c8aec70617b85a28b29bde8f,0,No
5acc9cd8d554a05f9b315516238d144010be47cc46a57b7c0fa16a1076f96ed1,3,77,72,84,59,85,1.66,2.04,18,Bachelor's Degree,1.5,D+,Probation,19/02/2020,86,19.9,Male,ff7fda0cd46dc6a5ab63558bca8b0d514f151fef565d4f45b066e86dbda035da,0,No
a814f8cce6d0b27ef7407d3a1ca1ffdb8b04bc954e86d73424782f0db4967325,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout,02/09/2021,73,14.2,Female,04a60cf38268323145597604c0fe52df5fcf97bc48354d8ceccdb84e62483c87,0,No
4d1d117b60bb52898daa760f44cb2875ce879788f16d9427d4e2554ea0ff5907,3,58,55,57,71,66,2.53,2.22,16,Bachelor's Degree,2.4,C+,Medium Risk,03/02/2020,74,22.6,Male,4d96aba6300ede71f18c5786988299660a0f6ae51851dcb0f65811a41c97e1e7,2,Yes
c7ffd838eef871c9e713e874deaedf1fe988352b2540c4c0aebb096cb2794a7f,4,78,60,76,56,94,1.67,1.94,14,Bachelor's Degree,1.6,D+,Dropout,08/09/2020,74,17.1,Male,a4d0fc6c3c9112ef3e09013c08b9259c619cb74b7846ea8ff3b119d81dd8c88d,2,No
462b04dc503076f6e13337770f3028227c78238793efae6cc67079d013be0ffa,1,89,66,64,54,95,2.02,2.02,19,Bachelor's Degree,1.7,C-,High Risk,18/02/2020,78.99,11,Male,83e363e01b7b7b60a999d606010232ae2b18246dd08987a29c644149811fede7,1,No
25fb05980d86897683ba9428b54cb894abc1825602d10289a6a5de3663767af0,3,70,92,61,74,84,1.74,1.93,17,Bachelor's Degree,1.72,C-,Dropout,23/09/2020,79,6.1,Female,3975528576eaa4d5d4e06f527b8548d628818462dc5415e44f9afa4c285e09a3,1,No
b6904dc163962a241039bf643acec365ea79845243f4d2c4d8fff49ecf2c6f69,1,89,80,50,74,64,2.13,2.13,17,Bachelor's Degree,1.82,C-,High Risk,08/09/2021,73.14,17.4,Male,0304af38977f0fc71e8f9b726cc8a92ddae70bf0eecb2fb03d76a0d17dcaa616,3,No
